,Year,Player,Team,Pos,G,MP,G,GS,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
517,2021,Kalani Brown,ATL,C,1,5,1,0,5,1,3,0.333,0,0,,1,3,0.333,0,0,,0,1,0,0,0,0,0,2
518,2021,Lexie Brown,CHI,G,17,162,17,0,9.5,0.6,2.2,0.263,0.5,1.9,0.242,0.1,0.3,0.4,0,0,,0,0.7,1.1,0.4,0,0.5,0.6,1.6
519,2021,Kennedy Burke,SEA,G,23,176,23,0,7.7,1.1,2.4,0.446,0.3,0.8,0.333,0.8,1.7,0.5,0.4,0.7,0.625,0.3,0.8,0.3,0.3,0.1,0.5,0.6,2.9
520,2021,Liz Cambage,LVA,C,25,595,25,24,23.8,5.6,10.3,0.543,0.2,0.6,0.357,5.4,9.8,0.553,2.8,4,0.71,1.6,8.2,1.3,0.9,1.6,1.8,3,14.2
521,2021,Jordin Canada,SEA,G,29,542,29,3,18.7,1.9,5,0.389,0.1,0.5,0.214,1.8,4.5,0.408,1.8,2.2,0.841,0.6,2.3,3,0.7,0.1,1.1,1,5.8
522,2021,Bridget Carleton,MIN,F,32,618,32,10,19.3,1.7,4.3,0.401,0.8,2.3,0.365,0.9,2,0.444,0.5,0.6,0.8,0.7,2.3,1.5,0.8,0.2,0.8,1.5,4.8
523,2021,DiJonai Carrington,CON,G-F,24,220,24,1,9.2,1.1,3.4,0.329,0.1,0.9,0.143,1,2.5,0.393,0.5,0.6,0.733,0.6,2,0.5,0.5,0.1,0.9,1.5,2.8
524,2021,Chennedy Carter,ATL,G,11,280,11,11,25.5,5.5,12,0.455,0.1,0.8,0.111,5.4,11.2,0.48,3.2,3.6,0.875,0.5,1.3,3.3,0.7,0.4,2.1,3,14.2
525,2021,Kaila Charles,CON,G-F,30,488,30,4,16.3,1.6,4.4,0.368,0.3,1.1,0.303,1.3,3.3,0.39,0.7,0.8,0.875,1.1,2.8,1.1,0.5,0.4,0.9,2,4.3
526,2021,Tina Charles,WAS,C,27,900,27,27,33.3,8.8,19.6,0.449,1.9,5.1,0.365,7,14.6,0.478,3.9,4.7,0.82,2.7,9.6,2.1,0.9,0.9,2.2,2.3,23.4
527,2021,Natasha Cloud,WAS,G,27,852,27,27,31.6,3,7.7,0.389,1,3.5,0.274,2,4.2,0.487,1.7,2,0.836,0.4,3.6,6.4,1.4,0.1,2.2,2.3,8.7
528,2021,Nia Coffey,LAS,F,32,805,32,17,25.2,2.9,6.9,0.421,1.6,3.8,0.417,1.3,3.2,0.426,0.9,1.1,0.778,0.6,3.8,0.9,0.8,1.2,1.4,2.7,8.3
529,2021,Charli Collier,DAL,F-C,28,345,28,18,12.3,1.4,3.1,0.465,0,0,,1.4,3.1,0.465,0.6,0.8,0.696,1.1,3.6,0.2,0.1,0.2,0.5,1.8,3.4
530,2021,Napheesa Collier,MIN,F,29,1003,29,29,34.6,6,13.7,0.441,0.7,2.9,0.253,5.3,10.8,0.49,3.4,3.9,0.86,1.7,6.6,3.2,1.3,1.3,2.3,2.8,16.2
531,2021,Te'a Cooper,LAS,G,31,682,31,13,22,3.1,8.3,0.379,0.8,2.4,0.324,2.4,5.9,0.401,2,2.7,0.75,0.1,1.7,1.4,0.9,0.2,1.8,2.2,9.1
532,2021,Kahleah Copper,CHI,G-F,32,986,32,32,30.8,5.4,11.8,0.459,0.8,2.7,0.306,4.6,9.1,0.503,2.8,3.4,0.818,1.2,4.2,1.8,0.8,0.3,1.9,3,14.4
533,2021,Sophie Cunningham,PHO,G,30,524,30,4,17.5,2,4.5,0.437,1.1,2.6,0.41,0.9,1.9,0.474,0.6,0.9,0.704,0.3,2,1.1,0.5,0.2,0.5,1.9,5.6
534,2021,Crystal Dangerfield,MIN,G,31,623,31,10,20.1,2.8,7.2,0.388,0.9,2.5,0.359,1.9,4.7,0.404,1.2,1.4,0.857,0.3,2,2.8,0.7,0.1,1.4,1.9,7.7
535,2021,Damiris Dantas,MIN,F,24,572,24,20,23.8,2.8,7.3,0.377,1.4,4.3,0.333,1.3,3,0.438,0.8,1,0.75,0.6,4,2.3,0.4,0.3,1.8,2,7.7
536,2021,Elena Delle Donne,WAS,F-G,3,52,3,3,17.3,4.3,9,0.481,1,1.7,0.6,3.3,7.3,0.455,4,4,1,1,4.3,0.7,0,0.3,0.7,0.7,13.7
537,2021,Diamond DeShields,CHI,G,32,860,32,22,26.9,3.8,9.8,0.393,0.8,2.5,0.3,3.1,7.3,0.425,2.8,3.5,0.82,0.4,3.5,2.3,1.2,0.4,1.9,3.2,11.3
538,2021,Blake Dietrick,ATL,G,9,141,9,0,15.7,0.9,3,0.296,0.6,1.8,0.313,0.3,1.2,0.273,0,0,,0.3,1.6,1.2,0.6,0.1,0.6,2.2,2.3
539,2021,Skylar Diggins-Smith,PHO,G,32,1040,32,32,32.5,5.5,12.3,0.45,1.6,4.2,0.37,4,8.1,0.492,5.1,6.2,0.818,0.5,3.2,5.3,1.1,0.8,2.6,2.2,17.7
540,2021,Stefanie Dolson,CHI,C,24,480,24,15,20,3,6.1,0.486,0.8,2,0.404,2.2,4.1,0.525,0.8,0.8,0.947,0.7,3.5,1.3,0.3,0.8,1.3,2.7,7.5
541,2021,Chelsea Dungee,DAL,G,14,64,14,0,4.6,0.2,1.2,0.176,0.1,0.7,0.2,0.1,0.5,0.143,0,0,,0.1,0.2,0.1,0,0.1,0.1,0.5,0.6
542,2021,Sylvia Fowles,MIN,C,31,934,31,31,30.1,6.7,10.5,0.64,0,0,,6.7,10.5,0.64,2.6,3.4,0.755,2.1,10.1,1.4,1.8,1.8,2.3,2.5,16
543,2021,Kysre Gondrezick,IND,G,19,173,19,0,9.1,0.7,2.4,0.283,0.4,1.5,0.286,0.3,0.9,0.278,0.1,0.2,0.5,0.2,1,0.9,0.4,0,0.9,0.7,1.9
544,2021,Aleah Goodman,CON,G,1,3,1,0,3,0,0,,0,0,,0,0,,0,0,,0,0,1,0,0,0,1,0
545,2021,Haley Gorecki,PHO,G,3,6,3,0,2,0,0.3,0,0,0.3,0,0,0,,0,0,,0,0.7,0,0,0,0.3,0,0
546,2021,Allisha Gray,DAL,G,25,694,25,16,27.8,4.2,9.7,0.438,1.2,3.3,0.366,3,6.4,0.475,2.2,2.6,0.862,1.3,5.2,1.7,1,0.8,1.4,2.1,11.9
547,2021,Chelsea Gray,LVA,G,32,926,32,32,28.9,4.6,10.2,0.454,0.8,2.2,0.38,3.8,8,0.475,1,1.1,0.889,0.5,2.9,5.9,1.2,0.3,2.8,1.3,11.1
548,2021,Reshanda Gray,NYL,F,15,210,15,0,14,2.3,4.3,0.531,0.1,0.6,0.222,2.1,3.7,0.582,1.2,1.7,0.692,0.9,3.5,0.3,0.3,0.3,1.4,3.1,5.9
549,2021,Brittney Griner,PHO,C,30,983,30,30,32.8,8.3,14.4,0.575,0.1,0.3,0.444,8.1,14.1,0.578,3.8,4.5,0.846,2.4,9.5,2.7,0.4,1.9,2.2,2.4,20.5
550,2021,Arella Guirantes,LAS,G,25,291,25,2,11.6,1,3.8,0.274,0.2,1.1,0.222,0.8,2.7,0.294,0.8,1,0.808,0.2,1.3,0.6,0.3,0.2,0.5,1,3.2
551,2021,Megan Gustafson,WAS,C,11,109,11,1,9.9,1.7,2.9,0.594,0,0.2,0,1.7,2.7,0.633,0.5,0.8,0.667,1,3.6,0,0.2,0.1,0.8,0.9,4
552,2021,Dearica Hamby,LVA,F,29,710,29,0,24.5,4.4,8,0.545,0.3,1.2,0.25,4.1,6.8,0.599,2.6,3.9,0.655,1.1,6.7,1.7,1.1,0.1,1.5,2,11.6
553,2021,Linnae Harper,MIN,G,1,5,1,0,5,0,0,,0,0,,0,0,,0,0,,0,1,0,0,0,0,2,0
554,2021,Isabelle Harrison,DAL,F,28,665,28,5,23.8,4.6,8.6,0.538,0,0,0,4.6,8.5,0.54,1.7,2.1,0.783,1.6,5.9,1.1,1.1,0.7,1.5,2.5,10.9
555,2021,Mikiah Herbert Harrigan,SEA,F,1,1,1,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
556,2021,Tyasha Harris,DAL,G,32,522,32,3,16.3,1.5,4.5,0.336,0.6,1.8,0.339,0.9,2.6,0.333,0.8,0.9,0.833,0.3,1.6,2.7,0.4,0.3,1,1.3,4.4
557,2021,Bria Hartley,PHO,G,6,51,6,0,8.5,1.5,2.7,0.563,0.7,1.2,0.571,0.8,1.5,0.556,0,0,,0.3,0.7,0.8,0.2,0,0.8,0.2,3.7
558,2021,Bernadett Hatar,IND,C,7,106,7,2,15.1,2,4.1,0.483,0,0,,2,4.1,0.483,0.9,1,0.857,1,2.6,0.3,0.4,0.4,1.6,2.6,4.9
